KEY,VALUE
OBJECT_SENSITIVITY_LEVEL,0
CALL_GRAPH_CONSTRUCTION_TIME_IN_MILLISECONDS,9005
NUMBER_OF_ENTRY_POINTS,2
NUMBER_OF_NODES_OF_CALL_GRAPH,1817
NUMBER_OF_PRIMORDIAL_NODES_OF_CALL_GRAPH,1779
NUMBER_OF_EXTENSION_NODES_OF_CALL_GRAPH,0
NUMBER_OF_APPLICATION_NODES_OF_CALL_GRAPH,38
NUMBER_OF_NODES_OF_HEAP_GRAPH,13816
NUMBER_OF_CLASSES,4603
BUG_PATTERN_VNA00J_DETECTION_TIME_IN_MILLISECONDS,843
NUMBER_OF_INSTANCES_OF_BUG_PATTERN_VNA00J,32
BUG_PATTERN_LCK06J_DETECTION_TIME_IN_MILLISECONDS,819
NUMBER_OF_INSTANCES_OF_BUG_PATTERN_LCK06J,0
BUG_PATTERN_LCK02J_DETECTION_TIME_IN_MILLISECONDS,2
NUMBER_OF_INSTANCES_OF_BUG_PATTERN_LCK02J,0
BUG_PATTERN_LCK01J_DETECTION_TIME_IN_MILLISECONDS,2
NUMBER_OF_INSTANCES_OF_BUG_PATTERN_LCK01J,0
BUG_PATTERN_LCK03J_DETECTION_TIME_IN_MILLISECONDS,3
NUMBER_OF_INSTANCES_OF_BUG_PATTERN_LCK03J,0
