KEY,VALUE
OBJECT_SENSITIVITY_LEVEL,2
CALL_GRAPH_CONSTRUCTION_TIME_IN_MILLISECONDS,11397
NUMBER_OF_ENTRY_POINTS,2
NUMBER_OF_NODES_OF_CALL_GRAPH,3873
NUMBER_OF_PRIMORDIAL_NODES_OF_CALL_GRAPH,3747
NUMBER_OF_EXTENSION_NODES_OF_CALL_GRAPH,0
NUMBER_OF_APPLICATION_NODES_OF_CALL_GRAPH,126
NUMBER_OF_NODES_OF_HEAP_GRAPH,26674
NUMBER_OF_CLASSES,6407
BUG_PATTERN_VNA00J_DETECTION_TIME_IN_MILLISECONDS,1796
NUMBER_OF_INSTANCES_OF_BUG_PATTERN_VNA00J,32
BUG_PATTERN_LCK06J_DETECTION_TIME_IN_MILLISECONDS,2846
NUMBER_OF_INSTANCES_OF_BUG_PATTERN_LCK06J,0
BUG_PATTERN_LCK02J_DETECTION_TIME_IN_MILLISECONDS,5
NUMBER_OF_INSTANCES_OF_BUG_PATTERN_LCK02J,0
BUG_PATTERN_LCK01J_DETECTION_TIME_IN_MILLISECONDS,6
NUMBER_OF_INSTANCES_OF_BUG_PATTERN_LCK01J,0
BUG_PATTERN_LCK03J_DETECTION_TIME_IN_MILLISECONDS,4
NUMBER_OF_INSTANCES_OF_BUG_PATTERN_LCK03J,0
