KEY,VALUE
OBJECT_SENSITIVITY_LEVEL,2147483647
CALL_GRAPH_CONSTRUCTION_TIME_IN_MILLISECONDS,14367
NUMBER_OF_ENTRY_POINTS,4
NUMBER_OF_NODES_OF_CALL_GRAPH,3607
NUMBER_OF_PRIMORDIAL_NODES_OF_CALL_GRAPH,3406
NUMBER_OF_EXTENSION_NODES_OF_CALL_GRAPH,0
NUMBER_OF_APPLICATION_NODES_OF_CALL_GRAPH,201
NUMBER_OF_NODES_OF_HEAP_GRAPH,31091
NUMBER_OF_CLASSES,8729
BUG_PATTERN_VNA00J_DETECTION_TIME_IN_MILLISECONDS,1273
NUMBER_OF_INSTANCES_OF_BUG_PATTERN_VNA00J,45
BUG_PATTERN_LCK06J_DETECTION_TIME_IN_MILLISECONDS,8091
NUMBER_OF_INSTANCES_OF_BUG_PATTERN_LCK06J,1
BUG_PATTERN_LCK02J_DETECTION_TIME_IN_MILLISECONDS,4
NUMBER_OF_INSTANCES_OF_BUG_PATTERN_LCK02J,0
BUG_PATTERN_LCK01J_DETECTION_TIME_IN_MILLISECONDS,6
NUMBER_OF_INSTANCES_OF_BUG_PATTERN_LCK01J,0
BUG_PATTERN_LCK03J_DETECTION_TIME_IN_MILLISECONDS,5
NUMBER_OF_INSTANCES_OF_BUG_PATTERN_LCK03J,0
